Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
170512,"Losing Ground: American Social Policy, 1950-1980",Charles Murray,"Murray, Charles",,"=""0465042333""","=""9780465042333""",0,3.85,Basic Books,Paperback,346,1994,1983,,2024/01/15,to-read,to-read (#104),to-read,,,,0,0
56280021,Facing Reality: Two Truths about Race in America,Charles Murray,"Murray, Charles",,"=""1641771976""","=""9781641771979""",0,4.09,Encounter Books,Hardcover,157,2021,2021,,2024/01/15,to-read,to-read (#103),to-read,,,,0,0
50202799,"Human Diversity: The Biology of Gender, Race, and Class",Charles Murray,"Murray, Charles",,"=""1538744015""","=""9781538744017""",0,4.00,Twelve,Hardcover,528,2020,2020,,2024/01/15,to-read,to-read (#102),to-read,,,,0,0
18811353,"The Curmudgeon's Guide to Getting Ahead: Dos and Don'ts of Right Behavior, Tough Thinking, Clear Writing, and Living a Good Life",Charles Murray,"Murray, Charles",,"=""0804141444""","=""9780804141444""",0,3.72,Currency,Hardcover,144,2014,2014,,2024/01/15,to-read,to-read (#101),to-read,,,,0,0
282086,Apollo: The Race To The Moon,Charles Murray,"Murray, Charles",Catherine Bly Cox,"=""0976000806""","=""9780976000808""",0,4.52,South Mountain Books,Paperback,512,2004,1989,,2024/01/15,to-read,to-read (#100),to-read,,,,0,0
12031563,"Coming Apart: The State of White America, 1960-2010",Charles Murray,"Murray, Charles",,"=""0307453421""","=""9780307453426""",0,3.79,Crown Forum,Hardcover,416,2012,2012,,2024/01/15,to-read,to-read (#99),to-read,,,,0,0
1775744,"The Historical Imagination in Early Modern Britain: History, Rhetoric, and Fiction, 1500–1800 (Woodrow Wilson Center Press)",Donald R. Kelley,"Kelley, Donald R.",,"=""0521521238""","=""9780521521239""",0,4.00,Cambridge University Press,Paperback,,2002,1997,,2024/01/14,to-read,to-read (#97),to-read,,,,0,0
3611104,The Truman Presidency (Woodrow Wilson Center Press),Michael James Lacey,"Lacey, Michael James",,"=""0521375592""","=""9780521375597""",0,0.0,Cambridge University Press,Hardcover,480,1989,1989,,2024/01/14,to-read,to-read (#98),to-read,,,,0,0
884422,The Idea of Europe: From Antiquity to the European Union (Woodrow Wilson Center Press),Anthony Pagden,"Pagden, Anthony",,"=""0521795524""","=""9780521795524""",0,3.42,Woodrow Wilson Center Press / Cambridge University Press,Paperback,392,2002,1998,,2024/01/14,to-read,to-read (#96),to-read,,,,0,0
54616040,The Constitution of Knowledge: A Defense of Truth,Jonathan Rauch,"Rauch, Jonathan",,"=""0815738862""","=""9780815738862""",0,4.26,Brookings Institution Press,Hardcover,318,2021,2021,,2024/01/13,to-read,to-read (#95),to-read,,,,0,0
884419,Federal Taxation in America: A Short History (Woodrow Wilson Center Press),W. Elliot Brownlee,"Brownlee, W. Elliot",,"=""052154520X""","=""9780521545204""",0,3.41,Cambridge University Press,Paperback,304,2004,1983,,2024/01/12,to-read,to-read (#94),to-read,,,,0,0
17283948,Twenty Thousand Years In Sing Sing,Lewis E. Lawes,"Lawes, Lewis E.",,"=""""","=""""",0,4.11,,,412,1942,1932,,2024/01/12,to-read,to-read (#93),to-read,,,,0,0
29993,The Visible Hand: The Managerial Revolution in American Business,Alfred D. Chandler Jr.,"Jr., Alfred D. Chandler",,"=""0674940520""","=""9780674940529""",0,4.05,Belknap Press: An Imprint of Harvard University Press,Paperback,624,1977,1977,,2024/01/12,to-read,to-read (#92),to-read,,,,0,0
2267668,The Business of the Supreme Court: A Study in the Federal Judicial System (Library of Liberal Thought),James M. Landis,"Landis, James M.",,"=""1412806127""","=""9781412806121""",0,4.00,Routledge,Paperback,388,2006,2006,,2024/01/12,to-read,to-read (#91),to-read,,,,0,0
171155447,"University at Buffalo Law School, 100 Years: 1887-1987",Robert & James Arnone Schaus,"Schaus, Robert & James Arnone",,"=""""","=""""",0,0.0,University at Buffalo Law Alumni Association,Hardcover,0,1992,,,2024/01/12,to-read,to-read (#90),to-read,,,,0,0
4226653,"Training for the public profession of the law (America in two centuries, an inventory)",Alfred Zantzinger Reed,"Reed, Alfred Zantzinger",,"=""0405077084""","=""9780405077081""",0,0.0,Arno Press,Hardcover,498,1976,2015,,2024/01/12,to-read,to-read (#89),to-read,,,,0,0
6350433,The Formularies of Angers and Marculf: Two Merovingian Legal Handbooks (Translated Texts for Historians LUP),Alice Rio,"Rio, Alice",Alice Rio,"=""1846311594""","=""9781846311598""",0,0.0,Liverpool University Press,Paperback,320,2009,2008,,2024/01/12,to-read,to-read (#88),to-read,,,,0,0
142771462,Legal Pract Written Word Middle Age Pb,Alice Rio,"Rio, Alice",,"=""""","=""""",0,0.0,FisicalBook,Paperback,0,2019,,,2024/01/12,to-read,to-read (#87),to-read,,,,0,0
53283815,The Oxford Handbook of the Merovingian World (Oxford Handbooks),Bonnie Effros,"Effros, Bonnie","Isabel Moreira, Paul Fouracre, Agnès Graceffa, Magali Coumert, Wolfram Drews, Andrea Czermak, Guy Halsall, Emilie Perez, Yitzhak Hen, Edward James, Laury Sarti, Gregory Halfond, Peregrine Horden, Albrecht Diem, Stefan Esders, Robin Fleming, Jean-Michel Picard, Ralph W. Mathisen, Matthias Hardt, Jonathan J. Arnold, Helmut Reimitz, Alice Rio, Jamie Kreiner, Andrew Gillett, Mark A. Handley, S. T. Loseby, Luc Bourgeois, Alexandra Chavarria Arnau, Pascale Chevalier, Édith Peytremann, Paolo Squatriti, Jean-Hervé Yvinec, Maude Barme, Dries Tys, Jürgen Strothmann, Constantin Pion, Bernard Gratuze, Patrick Perin, Thomas Calligaro, Michel Bonifay, Dominique Pieri, Frans Theuws, Ralph J. Patrello, Genevra Kornbluth, William E. Klingshirn, Els Rose, Lisa Kaaren Bailey, Kevin Uhalde, Lynda Coon","=""0190234180""","=""9780190234188""",0,4.50,Oxford University Press,Hardcover,1168,2020,2020,,2024/01/12,to-read,to-read (#86),to-read,,,,0,0
32766113,"Slavery After Rome, 500-1100 (Oxford Studies in Medieval European History)",Alice Rio,"Rio, Alice",,"=""0198704054""","=""9780198704058""",0,4.29,Oxford University Press,Hardcover,296,2017,2017,,2024/01/12,to-read,to-read (#85),to-read,,,,0,0
1932014,Professions and Professional Ideologies in America,Gerald L. Geison,"Geison, Gerald L.",,"=""0807815683""","=""9780807815687""",0,0.0,The University of North Carolina Press,Hardcover,147,1983,1983,,2024/01/12,to-read,to-read (#84),to-read,,,,0,0
22852248,"Legal Practice and the Written Word in the Early Middle Ages: Frankish Formulae, c.500–1000 (Cambridge Studies in Medieval Life and Thought: Fourth Series Book 75)",Alice Rio,"Rio, Alice",,"=""0511653085""","=""9780511653087""",0,4.50,Cambridge University Press,Kindle Edition,312,2009,2009,,2024/01/12,to-read,to-read (#83),to-read,,,,0,0
80796,Unequal Justice: Lawyers and Social Change in Modern America,Jerold S. Auerbach,"Auerbach, Jerold S.",,"=""0195021703""","=""9780195021707""",0,3.56,Oxford University Press,Paperback,416,1977,1974,,2024/01/12,to-read,to-read (#82),to-read,,,,0,0
